nama_produk,badges,count_rating,disc_percent,harga,rating,rating_avg,nama_toko,lokasi,official,powerbadge,terjual
Hantaran Kue Kering + Sirup jeruk Hampers Lebaran 4 toples Kue Kering,Power Merchant Pro Badge,0,0,57000,0,,Teraspot Official,Surabaya,False,True,0
Hampers parcel bt21 blue ulang tahun lebaran natal valentine,Power Merchant Pro Badge,0,0,65000,0,,AmmaHouse,Surabaya,False,True,0
couple lebaran hampers,Power Merchant Pro Badge,20,0,27000,5,5.0,727bonekawisuda,lainnya,False,True,100
Hampers Artisan Tea / SEPASANG / Parsel Ramadan / Hampers Idul Fitri,Power Merchant Pro Badge,5,0,45000,5,4.8,ranumtea,Semarang,False,True,30
parcel / bingkisan / hampers / kue idul fitri A2,Power Merchant Pro Badge,0,0,150000,0,,tokokalsumajaya,Surabaya,False,True,0
Oum Ali - Lebaran Hampers - Corica Pastries,Power Merchant Pro Badge,0,0,520000,0,,Corica Pastries Surabaya,Surabaya,False,True,0
KADO HAMPERS RAMADAN SAJADAH,Power Merchant Pro Badge,2,0,129000,4,4.0,Rumah Kado Surabaya,Surabaya,False,True,2
Tas Goni Jute Burlap Hampers Packaging Lebaran Idul Fitri uk.25x12x20,Power Merchant Pro Badge,0,0,141000,0,,septishoppe5,Surabaya,False,True,0
Tas totebag hampers lebaran idulfitri set premium Pita Hangtag,Power Merchant Pro Badge,0,0,6899,0,,Art and Dessert,Jakarta,False,True,10
Tas Mika (Carbella) Isi 4 Toples Model Panjang | Parcel Lebaran,Power Merchant Pro Badge,0,0,34000,0,,Evind Collection,Bodetabek,False,True,0
Hampers Lebaran: Emoi Diffuser white + Kaeen Bali + Rempah Ayu + 5 Oil,No Badges,1,0,2399000,5,5.0,emoiindonesia,Surabaya,False,False,1
BELLAROSA PAKET SIRUP JERUK HAMPERS SIRUP PARCEL LEBARAN IDUL FITRI,Power Merchant Pro Badge,0,0,50599,0,,paffie shop,Surabaya,False,True,0
Parsel Kue Hampers Lebaran Bellarosa Murah Meriah,Power Merchant Pro Badge,5,2,43610,5,5.0,Techmark,Jakarta,False,True,70
[Dijual] Box Idul Fitri/Hampers,Power Merchant Pro Badge,0,0,50000,0,,Anggita_store00,Surabaya,False,True,0
Stein Steincookware HAMPERS CNY / IDUL FITRI,Power Merchant Pro Badge,1,0,379000,5,5.0,TraimiStore,Jakarta,False,True,1
Aksesoris hiasan ketupat hampers parcel lebaran idul fitri pita unik,Power Merchant Pro Badge,9,0,12500,5,4.9,SJ'STORE,Jakarta,False,True,100
PO (Pengiriman sesuai tanggal request) Hampers Lebaran,Power Merchant Pro Badge,77,10,70200,5,5.0,kolacica_jkt,Jakarta,False,True,250
Hampers Ramadan 2022 - tea package,Power Badge,2,0,165000,5,5.0,Kedai MamaSan,Bodetabek,False,True,25
